PVK 5.11
05.03.2015
11:53:30
Name	
PV-KLA SN	09-0053
[Settings]
V range	I range	Scan Rate	No. Points	Serial no.	Comment
0	1	20000		50		T3	
Measurement Mode	Reference Module	Pmpp.ref in W	Impp.ref in A	Isc.ref in A	TC Uoc in 1/K	TC Isc in 1/K	TC Pmpp in 1/K	Pmpp correction	Isc correction	Impp correction
General	---	0.00	0.000	0.000	-0.00200000	0.00050000	-0.00400000	1.00000000	1.00000000	1.00000000
[Parameter]
Pmpp in W	Vmpp in V	Impp in A	Voc in V	Isc in A	FF in %	G in W/m²	T in °C
2.03		0.47		4.348		0.58		4.694		75.1		589.5	22.9
[Parameter STC]
Pmpp.stc in W	Vmpp.stc in V	Impp.stc in A	Voc.stc in V	Isc.stc in A	FF.stc in %	G in W/m²	T in °C
3.42	---	---				0.57		7.971		74.7		1000.0		25.0
[Curve Data]
V in V	I in A	G in W/m²
0.0015	4.6937	589.5160
0.0563	4.6886	589.5160
0.1106	4.6854	589.5160
0.1645	4.6783	589.4069
0.2187	4.6717	589.6250
0.2715	4.6622	589.4069
0.3235	4.6485	589.5160
0.3722	4.6265	589.5160
0.4129	4.5750	589.5160
0.4446	4.4807	589.4069
0.4675	4.3476	589.4069
0.4846	4.1872	589.4069
0.4979	4.0150	589.5160
0.5086	3.8382	589.5160
0.5173	3.6604	589.4069
0.5248	3.4875	589.5160
0.5307	3.3176	589.4069
0.5364	3.1557	589.5160
0.5408	3.0011	589.4069
0.5449	2.8511	589.4069
0.5490	2.7095	589.4069
0.5518	2.5747	589.5160
0.5548	2.4460	589.4069
0.5580	2.3249	589.5160
0.5599	2.2094	589.5160
0.5626	2.0999	589.5160
0.5644	1.9976	589.4069
0.5663	1.8990	589.5160
0.5682	1.8064	589.5160
0.5695	1.7197	589.4069
0.5711	1.6369	589.5160
0.5727	1.5580	589.5160
0.5736	1.4853	589.4069
0.5750	1.4149	589.4069
0.5760	1.3495	589.5160
0.5768	1.2862	589.4069
0.5780	1.2271	589.4069
0.5791	1.1720	589.4069
0.5798	1.1187	589.4069
